File Name,Domain,Neapolitan Text,Automated Translation,Parmigiano,Siciliano
113.m4a,Blog,"Pe tutte ll'anne ca io songo stata a Napule, aggio cercato 'e tutt' 'e mmanere, ma quase sempe a vvacante, comm'avevo 'a fa' pe trasì int' 'a suggità secreta d''a ggente che parlano 'o Nnapulitano.","Per tutti gli anni che io sono stata a Napoli, ho provato in tutti i modi, ma quasi sempre invano, come avessi dovuto entrare nel segreto segreto della gente che parla il napoletano.","Per tutti agh anni che mi sono stata a Napoli, ho provato in tutti i modi, ma quäzi sémpor invano, cme avessi dovuto enträr nel secrét secrét della génta che parla il napoletano.","Pi tutti li anni ca mianu sono stata a Napoli, ho provato ndi tutti li modi, ma quasi sempri màtula, comu avessi dovuto capìri nnô nfurra nfurra dâ genti ca parla lu napulitanu."
114.m4a,Blog,Ogni scarrafone è bello 'a mamma soja.​,Ogni scarafaggio è bello a sua mamma.​,Ogni scarafàs è bél a sòa mama.​,Ogni mappapani è beddu a sò nunna.​
115.m4a,Blog,A cucina piccerella fa la casa granne.,La cucina piccola fa la casa grande.,La cucina piccola fa la ca grand.,A cucina picciridda fa a casa magnu.
116.m4a,Blog,Ccà nisciuno è fesso.​,Qui nessuno è fesso.​,Csichenchì nisón è fesso.​,Ccà nuddu è fissa.​
117.m4a,Blog,Chi nun sape chiagnere nun sape manco rirere,Chi non sa piangere non sa neanche ridere.,Chi non sa cridär non sa neanche rìddor.,Cu nun sa chiànciri nun sa neanche rìdiri.
118.m4a,Blog,"Vide Napule, e po' muore.​","Vedi Napoli, e poi muori.​","Vedi Napoli, e poi muori.​","Vedi Napoli, e poi muori.​"
119.m4a,Blog,A 'o core nun se cumanna.,Al cuore non si comanda.,Al cór non agh comanda.,Ô cori nun si comanda.
120.m4a,Blog,Tutto 'o lassato è perduto.,Tutto ciò che è lasciato è perduto.,Incósa ciò che è lasciato è perduto.,Tuttu nzoccu è lassatu è perduto.
121.m4a,Blog,"Chiù 'a capa è vacante, chiù 'a lengua è longa.","Più la testa è vuota, più la lingua è lunga.","Pu la paracúl è vuota, pu la lengua è longa.","Cchiù a caramonia è vacanti, cchiù a lingua è lunga."
122.m4a,Blog,"Si sí felice, tienetello pe te; ca addó nun arriva l’invidia, arriva 'a sfurtuna.","Se sei felice, tienitelo per te; perché dove non arriva l’invidia, arriva la sfortuna.","Se séz felice, tienitelo per te; parchè dòvva non arriva l’invidia, arriva la sfortón’na.","Siddu sei filici, tienitelo pi te; pirchì duvi nun arriva l’invidia, arriva a sfurtuna."
123.m4a,Blog,"Vulesse, potesse e facesse, ereno tre fesse.​","Volere, potere e fare, erano tre sciocchezze.​","Vrèr, potere e conzubiär, erano tri sciocchezze.​","Vuliri, pòtisi e fari, erano tri sciocchezze.​"
124.m4a,Blog,Nun ve 'ntricate tra marito e mugliera.​,Non vi intromettete tra marito e moglie.​,Non av intromettete tra marí e mojéra.​,Nun vi intromettete ntra maritu e moglie.​
125.m4a,Blog,"Chi bella vo' paré', pene e guaie adda' paté'.","Chi vuole apparire bella, pene e guai deve patire.","Chi vuole apparire béla, vianéla e guai deve patir.","Cu vuole apparire bedda, aceddu e asara deve patiri."
126.m4a,Play,Se mangiaie duie chile d'uva 'e nascosto d' 'a mamma.,Mangiai due chili d’uva nascosto dalla mamma.,Mangiai dò chili d’jàdga scondón (âd) dalla mama.,Mangiai dù chili d’racina ammucciatu dâ nunna.
127.m4a,Play,"Già, me faceva male 'o pede.","Già, mi faceva male il piede.","Zà, am faceva mäl il pè.","Jà, mi faceva mali lu peri."
128.m4a,Play,E pecché avess' 'a ji' malamente?,E perché mai dovrei andare male?,E parchè mäi dovrei andär a bisabóga mäl?,E pirchì mai dovrei annari mali?
129.m4a,Play,Nu mumento... Io nun me so' sbagliata.,Un momento... Io non mi sono sbagliata.,Un momintén... Mi non am sono sbagliata.,Nu momento... Mianu nun mi sono sbagghiata.
130.m4a,Play,Ma a me mi pare che si abusi della cortesia altrui!,Ma a me mi pare che si abusi della cortesia altrui!,Ma a am am pare che agh abusi della cortesia altrui!,Ma mi mi pare ca si abusi dâ crianza altrui!
131.m4a,Play,"Guè, ccà se tratta 'e na cosa seria, t'aggio ditto!","Guè, qui si tratta di una cosa seria, te l’ho detto!","Guè, csichenchì agh tratta di ’n cozùssa seria, te l’ho detto!","Guè, ccà si tratta di na cosa seria, te l’ho detto!"
132.m4a,Play,"Nun tene 'o curaggio d'ascì ccà fore. Iammo nnanze, avvoca'.","Non hai il coraggio di uscire qui fuori. Andiamo avanti, avvocato.","Non hai il corag’ di sortìr csichenchì fôra. Andiamo avanti, avocät.","Nun hai lu curaggiu di nèsciri ccà fora. Andiamo avànti, avvucatu."
133.m4a,Play,"Statte zitto, ca manco tu he capito.","Stai zitto, che neanche tu hai capito.","Stai sìtt, che neanche ti hai capito.","Stai zittu, ca neanche tu hai capito."
134.m4a,Play,Io nun saccio leggere e po' carte nun n'accetto!,Io non so leggere e poi carte non ne accetto!,Mi non so lézor e poi cärti non in accetto!,Mianu nun so lèiri e poi carte nun ndi accetto!
135.m4a,Play,"Allora io aggio spiso na vita pè furmà na famiglia, e 'a legge nun m' 'o permette?","Allora io ho speso una vita per formare una famiglia, e la legge non me lo permette?","Alóra mi ho speso ’n vitasa per formär ’n famija, e la legia non am lo permette?","Ntonzi mianu ho speso na vita pi formare na masunata, e a legge nun mû permette?"
136.m4a,Play,"E chi si' tu, ca me vuò mpedì 'e dicere, vicin' 'e figlie mieie, ca me so' ffiglie?","E chi sei tu, che vuoi impedirmi di dire, vicino ai miei figli, che sono figlie mie?","E chi séz ti, che vuoi impedirmi di dìr, davzén ai miei figli, che sono figlie mie?","E cu sei tu, ca vuoi impedirmi di diri, ncuttu ê me figghi, ca sono figghi me?"
137.m4a,Play,"E va bbuono, mo basta!","E va bene, ora basta!","E va bén, òra basta!","E va bonu, ora abbasta!"
138.m4a,Play,Dimane me manno a piglià 'a rrobba mia.,Domani mi mandano a prendere le mie cose.,Dmàn am mandano a ruscär il mie garabatli.,Dumani mi mandano a pigghiari li me roba.
139.m4a,Play,"Te putevo dicere ca tutt'e tre t'erano figlie, ce avarrisse creduto... T' 'o ffacevo credere!","Ti avrei potuto dire che tutte e tre erano tue figlie, ci avresti creduto... Te l’avrei fatto credere!","Ti avrei potuto dìr che tutte e tri erano tue figlie, agh avresti creduto... Te l’avrei fat crèddor!","Ti avrei potuto diri ca tutti e tri erano tò figghi, cci avresti crittu... Te l’avrei fattu crìdiri!"
140.m4a,Play,"No una, ma ciento vote, me l'avarrisse fatto accidere!","No una, ma cento volte, me l’avresti fatto ammazzare!","No ’n, ma sént volte, am l’avresti fat copär!","Nicci na, ma centu volte, mìa l’avresti fattu accìdiri!"
141.m4a,Play,"Me mettette appaura 'e t' 'o ddicere! Sulo per me, è vivo 'o figlio tuio!","Mi hai messo paura a dirtelo! Solo per me, è vivo tuo figlio!","Am hai messo fifa a dirtelo! Solo per am, è viv tò fiôl!","Mi hai misizzu assumbru a dirtelo! Sulu pi mìa, è vivu tò figghiu!"
142.m4a,Play,Hann’ ‘a essere eguale tutt' 'e tre!,Devono essere uguali tutte e tre!,Devono esor uguali tutte e tri!,Devono èssiri uguali tutti e tri!
