Language,Original_Row,Coscienzioso_Raw,Coscienzioso_Refined,Mentalita_aperta_Raw,Mentalita_aperta_Refined,Amichevole_Raw,Amichevole_Refined,Urbano_Raw,Urbano_Refined,Calmo_Raw,Calmo_Refined,Istruito_Raw,Istruito_Refined
Napoletano,104,4,4,3,3,3,3,2,3,4,4,4,4
Italiano (Auto),104,4,4,4,4,3,3,3,3,4,4,4,4
Parmigiano,104,3,4,4,4,3,3,2,2,4,4,3,4
Siciliano,104,4,4,4,4,3,3,2,3,4,4,4,4
Napoletano,105,3,3,4,4,4,4,2,3,4,4,3,4
Italiano (Auto),105,3,3,4,4,4,4,3,3,4,4,3,3
Parmigiano,105,3,3,4,4,4,4,3,3,4,4,3,4
Siciliano,105,3,3,3,3,4,4,2,3,4,4,2,3
Napoletano,106,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),106,3,3,3,3,3,3,3,3,3,3,3,3
Parmigiano,106,2,3,2,3,3,3,2,2,3,3,2,3
Siciliano,106,2,2,2,2,2,2,1,1,3,3,1,2
Napoletano,107,2,2,2,2,3,3,1,2,3,3,2,2
Italiano (Auto),107,3,3,3,3,3,3,2,2,3,3,3,3
Parmigiano,107,2,2,3,3,3,3,2,2,4,4,2,3
Siciliano,107,2,2,3,3,3,3,1,3,3,3,2,3
Napoletano,108,2,3,2,3,3,3,4,4,4,4,2,3
Italiano (Auto),108,2,2,2,2,3,3,3,3,3,3,3,3
Parmigiano,108,1,3,2,3,3,4,2,3,4,4,2,3
Siciliano,108,2,2,2,2,3,3,3,3,4,4,2,3
Napoletano,109,3,3,2,4,4,4,2,3,4,4,2,4
Italiano (Auto),109,3,3,3,3,4,4,2,3,4,4,3,3
Parmigiano,109,2,2,3,3,4,4,2,3,4,4,2,3
Siciliano,109,3,3,3,3,4,4,3,3,4,4,3,4
Napoletano,110,2,3,3,3,4,4,1,2,3,3,2,3
Italiano (Auto),110,2,2,3,3,4,4,2,3,3,3,3,3
Parmigiano,110,2,2,3,3,3,3,1,2,3,3,2,2
Siciliano,110,2,3,2,3,3,3,1,2,3,3,2,3
Napoletano,111,2,2,3,3,4,4,2,3,3,3,2,3
Italiano (Auto),111,4,4,5,5,4,4,3,3,4,4,3,4
Parmigiano,111,2,2,3,3,3,3,2,3,3,3,2,3
Siciliano,111,2,2,3,3,3,3,2,3,3,3,2,3
Napoletano,112,2,3,3,4,4,4,2,3,4,4,2,3
Italiano (Auto),112,2,2,3,3,3,3,2,2,4,4,2,3
Parmigiano,112,1,3,2,3,3,4,1,2,4,4,1,3
Siciliano,112,2,2,2,2,4,4,1,2,4,4,1,2
Napoletano,113,3,3,2,2,4,4,2,3,4,4,2,3
Italiano (Auto),113,3,3,3,3,4,4,2,3,4,4,2,3
Parmigiano,113,2,2,2,2,3,3,2,3,4,4,2,3
Siciliano,113,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,114,2,3,2,3,3,3,2,2,3,3,2,3
Italiano (Auto),114,2,2,2,2,1,2,3,3,2,2,2,2
Parmigiano,114,2,2,2,2,3,3,1,1,4,4,1,2
Siciliano,114,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,115,2,3,2,3,3,3,1,2,3,3,1,3
Italiano (Auto),115,3,3,4,4,3,3,2,3,4,4,3,3
Parmigiano,115,3,3,2,2,3,3,1,1,4,4,1,3
Siciliano,115,2,3,3,3,3,3,1,1,4,4,1,3
Napoletano,116,2,3,3,3,4,4,2,3,3,3,2,3
Italiano (Auto),116,3,3,4,4,3,3,4,4,4,4,4,4
Parmigiano,116,3,3,4,4,3,3,4,4,4,4,4,4
Siciliano,116,3,3,4,4,3,3,4,4,4,4,4,4
Napoletano,117,2,3,3,4,4,4,1,2,4,4,2,3
Italiano (Auto),117,2,2,3,3,3,3,3,3,4,4,2,3
Parmigiano,117,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,117,2,3,3,3,3,3,2,3,4,4,2,3
Napoletano,118,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),118,2,2,2,2,2,2,3,3,2,2,2,2
Parmigiano,118,2,2,1,2,2,2,1,2,3,3,1,2
Siciliano,118,1,1,1,1,2,2,1,1,3,3,1,2
Napoletano,119,2,2,3,3,3,3,2,3,4,4,2,3
Italiano (Auto),119,1,1,2,2,2,2,2,2,3,3,1,2
Parmigiano,119,1,2,2,2,1,2,2,2,1,2,1,2
Siciliano,119,2,2,2,2,3,3,1,1,4,4,1,2
Napoletano,120,2,2,2,2,3,3,1,1,4,4,1,2
Italiano (Auto),120,3,3,2,3,2,3,2,3,3,3,3,3
Parmigiano,120,3,3,3,3,3,3,2,3,4,4,2,3
Siciliano,120,2,2,2,2,2,2,1,1,3,3,1,2
Napoletano,121,1,1,1,1,3,3,1,1,3,3,1,3
Italiano (Auto),121,1,1,1,1,1,1,1,1,3,3,1,1
Parmigiano,121,1,3,1,2,2,3,1,2,3,3,1,2
Siciliano,121,2,2,2,2,3,3,1,2,3,3,2,2
Napoletano,122,2,2,2,2,3,3,1,1,4,4,1,2
Italiano (Auto),122,3,3,2,2,3,3,2,2,3,3,2,2
Parmigiano,122,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,122,2,2,2,2,2,2,1,1,3,3,2,3
Napoletano,123,2,2,3,3,3,3,1,2,4,4,2,3
Italiano (Auto),123,3,3,2,2,3,3,2,2,4,4,3,3
Parmigiano,123,2,2,2,2,3,3,1,2,4,4,2,3
Siciliano,123,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,124,1,3,2,3,3,3,1,2,4,4,1,3
Italiano (Auto),124,1,1,3,3,3,3,3,3,4,4,2,3
Parmigiano,124,2,2,2,2,3,3,1,2,4,4,1,2
Siciliano,124,2,3,3,3,4,4,1,2,4,4,2,3
Napoletano,125,2,2,1,2,2,3,1,2,3,3,1,3
Italiano (Auto),125,2,2,2,2,2,2,2,2,3,3,2,2
Parmigiano,125,2,3,2,2,3,3,1,2,4,4,1,2
Siciliano,125,2,2,2,2,3,3,1,2,4,4,1,2
Napoletano,126,2,2,2,2,3,3,1,2,4,4,1,2
Italiano (Auto),126,2,2,2,2,2,2,3,3,3,3,3,3
Parmigiano,126,1,3,1,3,3,3,1,2,3,3,1,3
Siciliano,126,1,3,1,3,1,3,1,2,3,3,1,3
Napoletano,127,2,2,2,2,3,3,1,1,3,3,1,2
Italiano (Auto),127,3,3,2,2,2,2,3,3,3,3,3,3
Parmigiano,127,2,2,2,2,3,3,2,2,3,3,1,2
Siciliano,127,2,2,2,2,3,3,2,2,4,4,2,3
Napoletano,128,2,2,2,2,2,2,3,3,2,3,3,3
Italiano (Auto),128,2,3,2,2,2,2,3,3,2,3,3,3
Parmigiano,128,2,2,2,2,2,1,2,2,2,1,2,2
Siciliano,128,2,2,2,2,3,3,2,2,3,3,2,3
Napoletano,129,2,3,2,3,2,3,3,3,1,2,2,2
Italiano (Auto),129,3,3,2,2,2,2,4,4,2,2,3,3
Parmigiano,129,2,2,2,2,2,2,2,2,1,2,2,2
Siciliano,129,2,2,2,2,3,3,2,2,1,1,2,2
Napoletano,130,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),130,2,2,2,2,1,1,3,3,2,1,3,3
Parmigiano,130,2,2,2,2,2,2,2,2,2,1,2,2
Siciliano,130,2,2,2,2,1,1,1,1,2,2,2,2
Napoletano,131,1,1,1,1,1,1,2,2,1,1,2,1
Italiano (Auto),131,1,1,1,1,1,1,3,3,1,1,2,1
Parmigiano,131,1,1,1,1,1,1,1,1,1,1,1,2
Siciliano,131,1,1,1,1,1,1,3,2,1,1,2,1
Napoletano,132,1,1,1,1,3,3,1,1,3,3,1,1
Italiano (Auto),132,1,1,1,1,2,2,2,2,2,2,1,1
Parmigiano,132,2,2,2,2,2,2,1,1,2,2,1,2
Siciliano,132,1,1,1,1,1,1,1,1,2,2,1,1
Napoletano,133,4,4,2,2,3,3,2,2,3,3,2,3
Italiano (Auto),133,4,4,2,2,3,3,2,2,3,3,3,3
Parmigiano,133,3,3,2,3,3,3,1,2,3,3,2,3
Siciliano,133,3,3,2,2,3,3,1,2,4,4,2,3
Napoletano,134,1,1,1,1,1,1,1,1,1,0,1,1
Italiano (Auto),134,2,2,1,1,1,1,2,2,1,1,2,2
Parmigiano,134,2,3,2,3,3,4,1,2,4,4,2,3
Siciliano,134,1,1,1,1,1,1,1,1,1,2,1,2
Napoletano,135,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),135,1,1,1,1,1,1,3,3,1,1,2,2
Parmigiano,135,1,1,1,1,1,1,1,1,1,0,1,1
Siciliano,135,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,136,2,2,2,2,3,3,1,1,4,4,1,3
Italiano (Auto),136,3,3,2,2,2,2,3,3,3,3,2,2
Parmigiano,136,1,2,2,2,3,3,1,2,4,4,1,2
Siciliano,136,2,2,2,2,2,2,1,1,3,3,1,2
Napoletano,137,1,2,2,3,3,3,1,1,4,4,1,2
Italiano (Auto),137,2,2,2,2,1,1,3,3,2,2,3,3
Parmigiano,137,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,137,2,2,3,3,3,3,1,1,3,3,1,3
Napoletano,138,1,1,1,1,1,1,1,1,1,0,1,1
Italiano (Auto),138,1,1,1,1,1,1,3,3,1,1,2,2
Parmigiano,138,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,138,2,2,1,1,2,2,1,1,1,1,1,1
Napoletano,139,2,2,2,2,2,2,1,1,2,2,1,2
Italiano (Auto),139,2,2,2,2,2,2,2,2,1,1,2,2
Parmigiano,139,2,2,2,2,3,3,1,2,3,3,2,2
Siciliano,139,1,1,1,1,2,2,1,1,2,3,1,3
Napoletano,140,2,3,3,3,4,4,1,2,4,4,2,3
Italiano (Auto),140,3,3,3,3,3,3,3,3,3,3,3,3
Parmigiano,140,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,140,1,3,1,3,2,3,2,2,3,3,1,3
